titulo_diario;texto_diario;type;by;post_id;post_link;post_message;picture;full_picture;link;link_domain;post_published;post_published_unix;post_published_sql;likes_count_fb;comments_count_fb;reactions_count_fb;shares_count_fb;engagement_fb;comments_retrieved;comments_base;comments_replies;comments_likes_count;texto propio;localizacion_info;genero;tema;temp;modalidad;observaciones;rea_NONE;rea_LIKE;rea_LOVE;rea_WOW;rea_HAHA;rea_SAD;rea_ANGRY;rea_THANKFUL
;;link;post_page_71339054219;71339054219_10153118514594220;https://www.facebook.com/71339054219/posts/10153118514594220;Una resurrecci¢n hist¢rica: hace 4 a¤os su estadio era una esc ndalo  hoy una fiesta;https://external.xx.fbcdn.net/safe_image.php?d=AQCQt4QeoC5I4jdn&w=130&h=130&url=https%3A%2F%2Fs3-eu-west-1.amazonaws.com%2Fechobox-media%2Fsocial_media_images%2F389%2F389-1438830862-jla9qkass9hg5j4im92r2fhlb700veuu.jpg&cfs=1&sx=320&sy=0&sw=640&sh=640;https://external.xx.fbcdn.net/safe_image.php?d=AQCu1jhhVbeMylLP&url=https%3A%2F%2Fs3-eu-west-1.amazonaws.com%2Fechobox-media%2Fsocial_media_images%2F389%2F389-1438830862-jla9qkass9hg5j4im92r2fhlb700veuu.jpg;http://a.ln.com.ar/1MQFlr4;a.ln.com.ar;2015-08-06T03:14:26+0000;1438830866;8/6/2015 5:14:26;3355;194;3355;420;3969;176;143;33;225;;;;;;;;0;3307;0;0;0;0;0;0
;;photo;post_page_71339054219;71339054219_10153118462284220;https://www.facebook.com/71339054219/posts/10153118462284220;­­#River campe¢n de Am?rica!! El equipo de Gallardo gan¢ 3 a 0 ante TigresOficial y se convirti¢ en el ganador de la Copa Libertadores. ­Felicitaciones a todos los hinchas millonarios! Mir  el resumen [http://a.ln.com.ar/1gbq5by] Foto: AP;https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/11811440_10153118462284220_8711625144623178820_n.jpg?oh=40e0e6e02bca88542d3e2542a81e055b&oe=581A7D1F;https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/11811440_10153118462284220_8711625144623178820_n.jpg?oh=502cae932bdd8651557d783ee00302fb&oe=585E2912;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153118462284220/?type=3;facebook.com;2015-08-06T02:50:01+0000;1438829401;8/6/2015 4:50:01;12421;236;12421;3757;16414;209;167;42;258;;;;;;;;0;12278;0;0;0;0;0;0
;;photo;post_page_71339054219;71339054219_10153117102719220;https://www.facebook.com/71339054219/posts/10153117102719220;Muebles para guardar de todo Son lindos y necesarios para mantener los espacios en orden. Elegimos ocho dise¤os que ofrecen buenos espacios de guardado sin perder de vista la est?tica. [http://a.ln.com.ar/1SOf2qv];https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/11825906_10153117102719220_6686931547449478416_n.jpg?oh=9e12eef636a97b8e75944a2debe08e0b&oe=585B5A69;https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/11825906_10153117102719220_6686931547449478416_n.jpg?oh=02267172f409ebebef48583c630d0fab&oe=5820D064;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153117102719220/?type=3;facebook.com;2015-08-06T02:40:01+0000;1438828801;8/6/2015 4:40:01;80;3;80;6;89;3;3;0;1;;;;;;;;0;80;0;0;0;0;0;0
;;link;post_page_71339054219;71339054219_10153118403529220;https://www.facebook.com/71339054219/posts/10153118403529220;LA NACION shared a link.;https://external.xx.fbcdn.net/safe_image.php?d=AQCC0z9V5SmQS9FZ&w=130&h=130&url=https%3A%2F%2Fs3-eu-west-1.amazonaws.com%2Fechobox-media%2Fsocial_media_images%2F389%2F389-1438815715-5rk2mmlo8vr44tgcmmtijhldlq91lgrk.jpg&cfs=1;https://external.xx.fbcdn.net/safe_image.php?d=AQAoVXzTq-uQsjLd&url=https%3A%2F%2Fs3-eu-west-1.amazonaws.com%2Fechobox-media%2Fsocial_media_images%2F389%2F389-1438815715-5rk2mmlo8vr44tgcmmtijhldlq91lgrk.jpg;http://a.ln.com.ar/1Iqwpn4;a.ln.com.ar;2015-08-06T02:13:09+0000;1438827189;8/6/2015 4:13:09;105;4;105;14;123;3;3;0;0;;;;;;;;0;102;0;0;0;0;0;0
;;link;post_page_71339054219;71339054219_10153118379414220;https://www.facebook.com/71339054219/posts/10153118379414220;LA NACION shared a link.;https://external.xx.fbcdn.net/safe_image.php?d=AQBUwltozLqvnBrA&w=130&h=130&url=https%3A%2F%2Fs3-eu-west-1.amazonaws.com%2Fechobox-media%2Fsocial_media_images%2F389%2F389-1438809336-spi49fnbnhs99np2mj4fbacsm1spnhri.jpg&cfs=1&sx=241&sy=0&sw=640&sh=640;https://external.xx.fbcdn.net/safe_image.php?d=AQAnxe_tAz3k9IAg&url=https%3A%2F%2Fs3-eu-west-1.amazonaws.com%2Fechobox-media%2Fsocial_media_images%2F389%2F389-1438809336-spi49fnbnhs99np2mj4fbacsm1spnhri.jpg;http://a.ln.com.ar/1gKWp5T;a.ln.com.ar;2015-08-06T01:56:06+0000;1438826166;8/6/2015 3:56:06;118;6;118;11;135;3;3;0;2;;;;;;;;0;115;0;0;0;0;0;0
;;photo;post_page_71339054219;71339054219_10153117104349220;https://www.facebook.com/71339054219/posts/10153117104349220;10 pel¡culas taquilleras que no podemos creer que ya hayan cumplido 20 a¤os. [http://a.ln.com.ar/1SOfjK9];https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/11017859_10153117104349220_4971621648292325701_n.jpg?oh=fd1d0e7f422ac85156137a3555d4af59&oe=585AEACA;https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/11017859_10153117104349220_4971621648292325701_n.jpg?oh=883f875a34edb0dc338ec6a42028f50e&oe=581E69C7;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153117104349220/?type=3;facebook.com;2015-08-06T01:40:00+0000;1438825200;8/6/2015 3:40:00;500;30;500;51;581;27;21;6;16;;;;;;;;0;494;0;0;0;0;0;0
;;link;post_page_71339054219;71339054219_10153118310634220;https://www.facebook.com/71339054219/posts/10153118310634220;LA NACION shared a link.;https://external.xx.fbcdn.net/safe_image.php?d=AQD26_Asv38_lpMn&w=130&h=130&url=https%3A%2F%2Fs3-eu-west-1.amazonaws.com%2Fechobox-media%2Fsocial_media_images%2F389%2F389-1438805032-ttunr1fl57v9vv386sf5lp98q4t45ksl.jpg&cfs=1&sx=148&sy=0&sw=640&sh=640;https://external.xx.fbcdn.net/safe_image.php?d=AQCmyElllD8jy0VB&url=https%3A%2F%2Fs3-eu-west-1.amazonaws.com%2Fechobox-media%2Fsocial_media_images%2F389%2F389-1438805032-ttunr1fl57v9vv386sf5lp98q4t45ksl.jpg;http://a.ln.com.ar/1gKPiKW;a.ln.com.ar;2015-08-06T01:25:09+0000;1438824309;8/6/2015 3:25:09;81;81;81;5;167;73;57;16;95;;;;;;;;0;81;0;0;0;0;0;0
;;link;post_page_71339054219;71339054219_10153118284339220;https://www.facebook.com/71339054219/posts/10153118284339220;LA NACION shared a link.;https://external.xx.fbcdn.net/safe_image.php?d=AQC4tHPTk5ajV98x&w=130&h=130&url=https%3A%2F%2Fs3-eu-west-1.amazonaws.com%2Fechobox-media%2Fsocial_media_images%2F389%2F389-1438823282-6d5jil6mcq61neb733t97930apsdrqrj.jpg&cfs=1;https://external.xx.fbcdn.net/safe_image.php?d=AQAPtopKBFVSsRXl&url=https%3A%2F%2Fs3-eu-west-1.amazonaws.com%2Fechobox-media%2Fsocial_media_images%2F389%2F389-1438823282-6d5jil6mcq61neb733t97930apsdrqrj.jpg;http://a.ln.com.ar/1ImjS6g;a.ln.com.ar;2015-08-06T01:08:20+0000;1438823300;8/6/2015 3:08:20;727;21;727;42;790;20;19;1;24;;;;;;;;0;715;0;0;0;0;0;0
;;photo;post_page_71339054219;71339054219_10153117101249220;https://www.facebook.com/71339054219/posts/10153117101249220;¨C¢mo equipar un cuarto de beb?? Consejos de un experto para que sepas qu? y c¢mo comprar a la hora de proyectar el dormitorio de un reci?n nacido [http://a.ln.com.ar/1Na5wXH];https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/11811510_10153117101249220_3768479159681587808_n.jpg?oh=15c01e8298b5a709719fb75011ea4e78&oe=5859C5E6;https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/11811510_10153117101249220_3768479159681587808_n.jpg?oh=ab0904c19ae531e4fcf3cd62b52aeb0a&oe=58215EEB;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10153117101249220/?type=3;facebook.com;2015-08-06T00:40:00+0000;1438821600;8/6/2015 2:40:00;140;23;140;25;188;23;18;5;9;;;;;;;;0;140;0;0;0;0;0;0
;;link;post_page_71339054219;71339054219_10153118247089220;https://www.facebook.com/71339054219/posts/10153118247089220;"Permite crear comprimidos con las dosis exactas para un paciente espec¡fico; estar n en el mercado el a¤o pr¢ximo";https://external.xx.fbcdn.net/safe_image.php?d=AQB6MVSUJMyspFCx&w=130&h=130&url=https%3A%2F%2Fs3-eu-west-1.amazonaws.com%2Fechobox-media%2Fsocial_media_images%2F389%2F389-1438815589-vi0g5ak7dl7sc8corvudb6crif24d3r1.jpg&cfs=1;https://external.xx.fbcdn.net/safe_image.php?d=AQCFBP39qFl_IGlf&url=https%3A%2F%2Fs3-eu-west-1.amazonaws.com%2Fechobox-media%2Fsocial_media_images%2F389%2F389-1438815589-vi0g5ak7dl7sc8corvudb6crif24d3r1.jpg;http://a.ln.com.ar/1Iqw8R6;a.ln.com.ar;2015-08-06T00:39:06+0000;1438821546;8/6/2015 2:39:06;244;9;244;68;321;9;4;5;5;;;;;;;;0;241;0;0;0;0;0;0
;;link;post_page_71339054219;71339054219_10153118201894220;https://www.facebook.com/71339054219/posts/10153118201894220;La multicampeona mundial ha conmocionado al mundo del deporte;https://external.xx.fbcdn.net/safe_image.php?d=AQB61NLOUpDwu-uS&w=130&h=130&url=https%3A%2F%2Fs3-eu-west-1.amazonaws.com%2Fechobox-media%2Fsocial_media_images%2F389%2F389-1438803717-p43tkc451h4kk0oppsoq0so2t7rb9o2o.jpg&cfs=1&sx=245&sy=0&sw=640&sh=640;https://external.xx.fbcdn.net/safe_image.php?d=AQDdCi0VoyMq_ZAP&url=https%3A%2F%2Fs3-eu-west-1.amazonaws.com%2Fechobox-media%2Fsocial_media_images%2F389%2F389-1438803717-p43tkc451h4kk0oppsoq0so2t7rb9o2o.jpg;http://a.ln.com.ar/1eTCL5K;a.ln.com.ar;2015-08-06T00:06:29+0000;1438819589;8/6/2015 2:06:29;130;26;130;27;183;25;18;7;34;;;;;;;;0;130;0;0;0;0;0;0
